opponent,luka_fgattempt,luka_fgpercent,team_attempts,team_fgpercent,luka_percentofteamshots,ftattempt,points,result
PHO,23,0.44,75,0.48,0.31,13,35,L
MEM,23,0.52,90,0.49,0.26,5,32,W
NOP,30,0.53,82,0.48,0.37,5,37,L
BRK,28,0.50,81,0.51,0.35,13,41,W
OKC,23,0.35,95,0.42,0.24,19,31,L
ORL,26,0.65,83,0.42,0.31,14,44,W
UTA,20,0.60,84,0.47,0.24,10,33,W
TOR,15,0.67,77,0.47,0.19,14,35,W
BRK,22,0.50,72,0.42,0.31,12,36,W
ORL,29,0.31,85,0.41,0.34,7,24,L
WAS,21,0.38,86,0.45,0.24,9,22,L
POR,22,0.59,81,0.47,0.27,18,42,W
LAC,22,0.50,80,0.41,0.28,11,35,W
DEN,22,0.50,77,0.64,0.29,11,33,W
DEN,16,0.44,78,0.45,0.21,10,22,L
BOS,28,0.61,82,0.50,0.34,9,42,L
TOR,15,0.53,73,0.47,0.21,9,24,L
MIL,20,0.50,80,0.52,0.25,9,27,L
GSW,27,0.52,91,0.44,0.30,15,41,W
DET,25,0.52,86,0.54,0.29,6,35,L
NYK,21,0.52,100,0.41,0.21,4,30,W
PHO,20,0.60,84,0.50,0.24,7,33,W
DEN,17,0.29,72,0.56,0.24,9,22,W
MIL,28,0.46,88,0.47,0.32,10,33,L
OKC,27,0.48,93,0.39,0.29,10,38,W
CLE,23,0.39,74,0.39,0.31,11,30,L
POR,18,0.61,81,0.54,0.22,7,33,W
MIN,17,0.29,76,0.44,0.22,7,19,L
MIN,16,0.50,75,0.44,0.21,9,25,W
HOU,30,0.57,80,0.38,0.38,12,50,W
LAL,16,0.56,84,0.51,0.19,16,32,W
NYK,31,0.68,90,0.39,0.34,22,60,W
HOU,21,0.52,91,0.51,0.23,12,35,W
SAS,29,0.62,86,0.56,0.34,15,51,W
HOU,26,0.39,81,0.44,0.32,22,39,W
BOS,23,0.30,90,0.40,0.26,11,23,L
NOP,23,0.44,74,0.63,0.31,15,34,W
LAC,22,0.55,69,0.38,0.32,21,43,L
LAL,28,0.50,96,0.50,0.29,7,35,W
POR,19,0.37,82,0.57,0.23,6,15,L
ATL,19,0.47,84,0.54,0.23,12,30,L 
MIA,24,0.50,80,0.45,0.30,8,34,W
LAC,21,0.43,80,0.44,0.26,13,29,L
WAS,29,0.55,89,0.52,0.33,12,41,L
DET,24,0.71,79,0.40,0.30,18,53,W
NOP,19,0.63,85,0.38,0.22,8,31,W
SAC,20,0.55,91,0.51,0.22,5,27,L
MIN,20,0.50,84,0.52,0.24,15,33,L
DEN,22,0.55,84,0.44,0.26,12,37,L
SAS,16,0.50,82,0.58,0.20,12,28,W
LAL,22,0.46,93,0.41,0.24,4,26,L
IND,25,0.56,91,0.48,0.27,12,39,L
PHI,22,0.59,82,0.53,0.27,11,42,W
PHO,23,0.35,77,0.56,0.30,19,34,L
UTA,23,0.44,89,0.48,0.26,8,29,W
NOP,14,0.29,88,0.46,0.16,8,15,L
GSW,27,0.41,89,0.53,0.30,10,30,L
CHO,23,0.52,84,0.48,0.27,10,34,L
CHO,29,0.41,84,0.36,0.35,10,40,L
IND,17,0.47,83,0.59,0.20,5,25,W
PHI,20,0.45,83,0.46,0.24,2,24,L
MIA,25,0.68,77,0.58,0.32,7,42,L
ATL,21,0.38,95,0.55,0.22,4,22,L
SAC,19,0.47,89,0.50,0.21,10,29,W
CHI,11,0.36,93,0.46,0.12,7,13,L
